part,trial,resp,rt,rtlog,prime,lang,mis
L26,184,j,0.524984299903736,-0.64438692178294,a_unrel,vieras,labra
L26,192,j,0.562230900162831,-0.575842659083736,a_unrel,vieras,labra
L26,212,j,0.944971600081772,-0.056600404763511,a_unrel,vieras,labra
L26,187,j,0.70865450007841,-0.344387177176431,a_unrel,vieras,labra
L26,169,j,0.577192299999297,-0.549579792435962,a_unrel,vieras,labra
L27,109,j,0.824583900161088,-0.192876383322585,a_unrel,vieras,labra
L27,124,j,0.749674600083381,-0.288116033154599,a_unrel,vieras,labra
L27,91,j,0.77820760011673,-0.250761952202414,a_unrel,vieras,labra
L27,165,j,0.665018699830398,-0.407940118675933,a_unrel,vieras,labra
L27,203,j,0.736690899822861,-0.305586877992358,a_unrel,vieras,labra
L27,173,j,0.632826799992472,-0.45755851198353,a_unrel,vieras,labra
L27,176,j,0.615677100140601,-0.48503264096666,a_unrel,vieras,labra
L27,184,j,0.766937599983066,-0.265349836878738,a_unrel,vieras,labra
L27,192,j,0.721052999841049,-0.32704263560403,a_unrel,vieras,labra
L27,212,j,0.707359000109136,-0.346216962458223,a_unrel,vieras,labra
L27,187,j,0.648142000194639,-0.433645470533833,a_unrel,vieras,labra
L27,171,j,0.744041500147432,-0.295658465936625,a_unrel,vieras,labra
L27,169,j,0.651083400007337,-0.429117534368683,a_unrel,vieras,labra
L28,20,j,0.585712299915031,-0.53492656573977,a_unrel,vieras,labra
L28,25,j,0.603886099997908,-0.504369674992446,a_unrel,vieras,labra
L28,31,j,0.53054690011777,-0.63384691745075,a_unrel,vieras,labra
L28,33,j,0.511506099952385,-0.670395768045954,a_unrel,vieras,labra
L28,35,j,0.571399000007659,-0.559667539261096,a_unrel,vieras,labra
L28,40,j,0.529391899937764,-0.636026289763756,a_unrel,vieras,labra
L28,42,j,0.561235200148076,-0.577615209719988,a_unrel,vieras,labra
L28,44,j,0.617754200007766,-0.481664635257103,a_unrel,vieras,labra
L28,47,j,0.593536899890751,-0.521655893502417,a_unrel,vieras,labra
L28,51,j,0.561366300098598,-0.577381645180676,a_unrel,vieras,labra
L28,53,j,0.645833800081164,-0.437213083716687,a_unrel,vieras,labra
L28,60,j,0.563742599915713,-0.573157514786723,a_unrel,vieras,labra
L28,75,j,0.528633400099352,-0.637460092846402,a_unrel,vieras,labra
L28,82,j,0.826684900093824,-0.190331672169352,a_unrel,vieras,labra
L28,163,j,0.501976599916816,-0.689201774088383,a_unrel,vieras,labra
L28,214,j,0.722111099865288,-0.325576273997543,a_unrel,vieras,labra
L28,135,j,0.530817199964076,-0.633337573198144,a_unrel,vieras,labra
L28,137,j,0.718820899957791,-0.330143048315984,a_unrel,vieras,labra
L28,146,j,0.527575599960983,-0.639463106439303,a_unrel,vieras,labra
L28,154,j,0.644819700159132,-0.438784535900458,a_unrel,vieras,labra
L28,159,j,0.536602800013497,-0.622497122939566,a_unrel,vieras,labra
L28,156,j,0.529072100063786,-0.636630561394551,a_unrel,vieras,labra
L28,162,j,0.540102599887177,-0.615996157680423,a_unrel,vieras,labra
L28,131,j,0.534587600035593,-0.626259670391828,a_unrel,vieras,labra
L28,133,j,0.550584000069648,-0.596775745777495,a_unrel,vieras,labra
L29,124,j,0.586884999999711,-0.53292638976165,a_unrel,vieras,labra
L29,91,j,0.763201099999606,-0.270233717549825,a_unrel,vieras,labra
L29,119,j,0.487482999999884,-0.71849986094738,a_unrel,vieras,labra
L29,165,j,0.880783599999631,-0.126943313184305,a_unrel,vieras,labra
L29,173,j,0.507005700000263,-0.679233032850082,a_unrel,vieras,labra
L29,176,j,0.688826399999925,-0.372765999077073,a_unrel,vieras,labra
L29,184,j,0.54277379999985,-0.61106262042541,a_unrel,vieras,labra
L29,192,j,0.582840099999885,-0.539842401263022,a_unrel,vieras,labra
L29,187,j,0.713829299999816,-0.337111420856197,a_unrel,vieras,labra
L29,171,j,0.47184180000022,-0.751111519069489,a_unrel,vieras,labra
L29,169,j,0.587334899999405,-0.53216009373531,a_unrel,vieras,labra
yykaakoo,110,j,1.09845900000073,0.093908288523526,a_unrel,vieras,labra
yykaakoo,120,j,0.830833599902689,-0.185325744968541,a_unrel,vieras,labra
yykaakoo,125,j,0.876318700029515,-0.132025441390501,a_unrel,vieras,labra
yykaakoo,166,j,0.931368199991994,-0.071100591176912,a_unrel,vieras,labra
yykaakoo,203,j,0.832907799980603,-0.182832327238248,a_unrel,vieras,labra
yykaakoo,170,j,0.825793500058353,-0.191410536645705,a_unrel,vieras,labra
yykaakoo,172,j,0.771712300018407,-0.259143466785414,a_unrel,vieras,labra
yykaakoo,174,j,0.686042400076985,-0.376815845473871,a_unrel,vieras,labra
yykaakoo,177,j,0.836910999962129,-0.178037546330165,a_unrel,vieras,labra
yykaakoo,185,j,0.831728300079703,-0.184249453898245,a_unrel,vieras,labra
yykaakoo,188,j,1.19146159989759,0.175180788667688,a_unrel,vieras,labra
yykaakoo1,6,j,0.919585500028916,-0.083832253911076,a_unrel,vieras,labra
yykaakoo1,21,j,1.02399769995827,0.023714280480292,a_unrel,vieras,labra
yykaakoo1,26,j,0.688787500024773,-0.372822473500222,a_unrel,vieras,labra
yykaakoo1,32,j,0.651351199951023,-0.42870630458798,a_unrel,vieras,labra
yykaakoo1,34,j,0.886502400040627,-0.120471446149907,a_unrel,vieras,labra
yykaakoo1,36,j,0.773411000031047,-0.256944676958124,a_unrel,vieras,labra
yykaakoo1,41,j,0.771868300042115,-0.258941339310849,a_unrel,vieras,labra
yykaakoo1,215,j,0.750641300110146,-0.286827370999623,a_unrel,vieras,labra
yykaakoo1,43,j,0.852296099998057,-0.159821277320207,a_unrel,vieras,labra
yykaakoo1,45,j,0.703591199941002,-0.351557773387111,a_unrel,vieras,labra
yykaakoo1,48,j,1.02025840000715,0.020055928553051,a_unrel,vieras,labra
yykaakoo1,52,j,1.0189168000361,0.018740102267411,a_unrel,vieras,labra
yykaakoo1,54,j,0.737197599955834,-0.304899308813263,a_unrel,vieras,labra
yykaakoo1,61,j,0.915072100004181,-0.088752418992224,a_unrel,vieras,labra
yykaakoo1,92,j,0.607726400019601,-0.498030498264102,a_unrel,vieras,labra
yykaakoo1,130,j,0.734944199910387,-0.307960701140524,a_unrel,vieras,labra
yykaakoo1,132,j,0.752012900076807,-0.285001800821975,a_unrel,vieras,labra
yykaakoo1,134,j,0.592400700086728,-0.52357201480876,a_unrel,vieras,labra
yykaakoo1,136,j,0.610817000037059,-0.492957873613286,a_unrel,vieras,labra
yykaakoo1,138,j,1.10073279996868,0.095976139793446,a_unrel,vieras,labra
yykaakoo1,147,j,0.791734599974006,-0.233529044369534,a_unrel,vieras,labra
